date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:25	113/113	------	200	untouched ('OK')	text/plain	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	https://www.android.com/robots.txt		(from )
17:56:25	1044379/1044379	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/	Android/Android/www.android.com/index.html	(from )
17:56:25	156/156	------	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:45:28%20GMT	https://www.android.com/=w16	Android/Android/www.android.com/=w16.0.delayed	(from https://www.android.com/)
17:56:25	793869/793869	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/da_dk/	Android/Android/www.android.com/intl/da_dk/index.html	(from https://www.android.com/)
17:56:25	795088/795088	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/de_be/	Android/Android/www.android.com/intl/de_be/index.html	(from https://www.android.com/)
17:56:25	1092823/1092823	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/de_de/	Android/Android/www.android.com/intl/de_de/index.html	(from https://www.android.com/)
17:56:25	948519/948519	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/en_au/	Android/Android/www.android.com/intl/en_au/index.html	(from https://www.android.com/)
17:56:26	156/156	------	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:45:31%20GMT	https://www.android.com/=w32	Android/Android/www.android.com/=w32.1.delayed	(from https://www.android.com/)
17:56:26	790636/790636	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/en_be/	Android/Android/www.android.com/intl/en_be/index.html	(from https://www.android.com/)
17:56:26	944424/944424	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/en_ca/	Android/Android/www.android.com/intl/en_ca/index.html	(from https://www.android.com/)
17:56:26	793864/793864	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/en_hk/	Android/Android/www.android.com/intl/en_hk/index.html	(from https://www.android.com/)
17:56:26	790567/790567	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/en_ie/	Android/Android/www.android.com/intl/en_ie/index.html	(from https://www.android.com/)
17:56:26	156/156	------	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:45:33%20GMT	https://www.android.com/=w180	Android/Android/www.android.com/=w180.2.delayed	(from https://www.android.com/)
17:56:26	919911/919911	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/en_in/	Android/Android/www.android.com/intl/en_in/index.html	(from https://www.android.com/)
17:56:26	790645/790645	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/en_nz/	Android/Android/www.android.com/intl/en_nz/index.html	(from https://www.android.com/)
17:56:26	790535/790535	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/en_ph/	Android/Android/www.android.com/intl/en_ph/index.html	(from https://www.android.com/)
17:56:26	1058463/1058463	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/en_uk/	Android/Android/www.android.com/intl/en_uk/index.html	(from https://www.android.com/)
17:56:26	807338/807338	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/es-419_mx/	Android/Android/www.android.com/intl/es-419_mx/index.html	(from https://www.android.com/)
17:56:26	1064357/1064357	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/es_es/	Android/Android/www.android.com/intl/es_es/index.html	(from https://www.android.com/)
17:56:26	1101769/1101769	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/es_us/	Android/Android/www.android.com/intl/es_us/index.html	(from https://www.android.com/)
17:56:26	795075/795075	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/fil_ph/	Android/Android/www.android.com/intl/fil_ph/index.html	(from https://www.android.com/)
17:56:26	156/156	------	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:47:55%20GMT	https://www.android.com/intl/da_dk/=w16	Android/Android/www.android.com/intl/da_dk/=w16.23.delayed	(from https://www.android.com/intl/da_dk/)
17:56:26	796073/796073	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/fr_be/	Android/Android/www.android.com/intl/fr_be/index.html	(from https://www.android.com/)
17:56:26	950019/950019	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/fr_ca/	Android/Android/www.android.com/intl/fr_ca/index.html	(from https://www.android.com/)
17:56:26	1031841/1031841	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/fr_fr/	Android/Android/www.android.com/intl/fr_fr/index.html	(from https://www.android.com/)
17:56:26	945064/945064	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/hi_in/	Android/Android/www.android.com/intl/hi_in/index.html	(from https://www.android.com/)
17:56:26	156/156	------	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:48:14%20GMT	https://www.android.com/intl/da_dk/=w32	Android/Android/www.android.com/intl/da_dk/=w32.24.delayed	(from https://www.android.com/intl/da_dk/)
17:56:26	793954/793954	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/id_id/	Android/Android/www.android.com/intl/id_id/index.html	(from https://www.android.com/)
17:56:26	1069089/1069089	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/it_it/	Android/Android/www.android.com/intl/it_it/index.html	(from https://www.android.com/)
17:56:26	1079473/1079473	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/ja_jp/	Android/Android/www.android.com/intl/ja_jp/index.html	(from https://www.android.com/)
17:56:26	940025/940025	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/ko_kr/	Android/Android/www.android.com/intl/ko_kr/index.html	(from https://www.android.com/)
17:56:26	156/156	------	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:48:30%20GMT	https://www.android.com/intl/da_dk/=w180	Android/Android/www.android.com/intl/da_dk/=w180.25.delayed	(from https://www.android.com/intl/da_dk/)
17:56:26	794208/794208	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/nl_be/	Android/Android/www.android.com/intl/nl_be/index.html	(from https://www.android.com/)
17:56:26	794208/794208	------	200	untouched ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/nl_nl/	Android/Android/www.android.com/intl/nl_nl/index.html	(from https://www.android.com/)
